id,full_name,gender,specialty,category,work_address,latitude,longitude,schedule_json,loyalty_score,avg_sales_brick,phone,email
933e4306-749b-437e-94d6-0219c00ac303,Петров Кирилл Андреевич,M,Gastroenterologist,B,"Клиника «Чайка», Каширское ш., д. 76",55.776487,37.833641,"{""monday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""16:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""16:00""}, ""friday"": {""start"": ""08:00"", ""end"": ""18:00""}}",6.5,68.81,+7(928)184-57-97,petrov.k933e@rambler.ru
06400c8d-5a4b-4652-9f3d-2bb454b6842b,Михайла Наталья Андреевна,F,Gastroenterologist,C,"ГКБ №98, ул. Косыгина, д. 109",55.836283,37.577896,"{""monday"": {""start"": ""14:00"", ""end"": ""19:00""}, ""tuesday"": {""start"": ""13:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""14:00"", ""end"": ""20:00""}, ""thursday"": {""start"": ""13:00"", ""end"": ""20:00""}, ""friday"": {""start"": ""12:00"", ""end"": ""18:00""}}",3.0,11.47,+7(955)433-26-93,mikhayla.n0640@yandex.ru
a5c21fe0-df00-4b8e-91a8-4ff84a81ec5f,Мороза Светлана Юрьевна,F,Endocrinologist,C,"Клиника «Чайка», ул. Марксистская, д. 48",55.816894,37.697228,"{""monday"": {""start"": ""14:00"", ""end"": ""20:00""}, ""wednesday"": {""start"": ""14:00"", ""end"": ""20:00""}, ""thursday"": {""start"": ""13:00"", ""end"": ""19:00""}, ""friday"": {""start"": ""14:00"", ""end"": ""20:00""}}",3.7,11.41,+7(918)599-89-15,moroza.sa5c2@yandex.ru
6e3a985b-3957-4e6b-bc26-006dfc3a8837,Козла Светлана Юрьевна,F,Pulmonologist,B,"Клиника «Семейный доктор», Ярославское ш., д. 113",55.834979,37.646071,"{""monday"": {""start"": ""08:00"", ""end"": ""15:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""13:00""}, ""wednesday"": {""start"": ""08:00"", ""end"": ""15:00""}, ""thursday"": {""start"": ""08:00"", ""end"": ""14:00""}, ""friday"": {""start"": ""07:00"", ""end"": ""15:00""}}",4.6,36.38,+7(916)973-50-90,kozla.s6e3a@rambler.ru
53b43505-25da-4d04-9078-5e33e1af252e,Козлов Сергей Сергеевич,M,Gastroenterologist,A,"Поликлиника при ГКБ №153, просп. Мира, д. 49",55.666649,37.453926,"{""monday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}}",8.3,90.48,+7(959)238-76-71,kozlov.s53b4@gmail.com
bdaa9e37-8353-44c9-ad43-c0026a622bbe,Соловьёва Юлия Ивановна,F,Gastroenterologist,C,"МЦ «СМ-Клиника», ул. Земляной Вал, д. 98",55.760272,37.629508,"{""monday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""16:00""}, ""wednesday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""08:00"", ""end"": ""16:00""}, ""saturday"": {""start"": ""09:00"", ""end"": ""16:00""}}",2.2,11.86,+7(916)522-81-27,solovyova.yubdaa@mail.ru
2ba499ac-eb23-4843-b59f-688d1727245c,Морозов Максим Олегович,M,Therapist,B,"Городская поликлиника №137, филиал 2, Ломоносовский просп., д. 85",55.718091,37.623214,"{""monday"": {""start"": ""08:00"", ""end"": ""13:00""}, ""tuesday"": {""start"": ""07:00"", ""end"": ""15:00""}, ""wednesday"": {""start"": ""08:00"", ""end"": ""14:00""}, ""thursday"": {""start"": ""08:00"", ""end"": ""13:00""}, ""friday"": {""start"": ""07:00"", ""end"": ""14:00""}}",3.4,63.01,+7(994)493-24-84,morozov.m2ba4@mail.ru
e8797f84-d29d-42d9-817c-f8572a567125,Богданов Александр Дмитриевич,M,Endocrinologist,B,"ГКБ №9, ул. Профсоюзная, д. 66",55.746659,37.55742,"{""monday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""saturday"": {""start"": ""09:00"", ""end"": ""18:00""}}",3.7,54.64,+7(985)448-90-35,bogdanov.ae879@rambler.ru
705591d8-c58c-4749-bcf1-7ee7dda73c9d,Волков Сергей Евгеньевич,M,Endocrinologist,A,"КДЦ №187, ул. Бауманская, д. 8",55.670803,37.687163,"{""monday"": {""start"": ""12:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""14:00"", ""end"": ""19:00""}, ""wednesday"": {""start"": ""12:00"", ""end"": ""19:00""}, ""thursday"": {""start"": ""12:00"", ""end"": ""19:00""}, ""friday"": {""start"": ""14:00"", ""end"": ""18:00""}}",8.5,86.01,+7(981)808-80-69,volkov.s7055@mail.ru
b7028e9a-7c7e-4a18-946c-ea8a39011f3f,Морозов Илья Сергеевич,M,Endocrinologist,C,"Поликлиника при ГКБ №16, просп. Мира, д. 1",55.672736,37.715711,"{""monday"": {""start"": ""13:00"", ""end"": ""19:00""}, ""tuesday"": {""start"": ""14:00"", ""end"": ""20:00""}, ""wednesday"": {""start"": ""13:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""12:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""14:00"", ""end"": ""18:00""}}",2.3,13.61,+7(913)225-32-20,morozov.ib702@gmail.com
